Fighter,Winner,Winner_binary,L,Stance,Stance_Orth,Stance_South,Stance_Switch,Ht.,Reach,Wt.,W,Date of Fight,Birth Date,Age at Fight
Jason Saggo,Blue,0,1,Orthodox,1,0,0,180.34,180.34,155,3,2016-12-10,1985-11-23,31
Andrew Sanchez,Red,1,0,Orthodox,1,0,0,185.42,187.96,185,1,2016-12-09,1988-04-08,29
Francis Ngannou,Red,1,0,Orthodox,1,0,0,193.04,210.82,250,3,2016-12-09,1986-09-05,30
Randy Brown,Red,1,1,Orthodox,1,0,0,190.5,198.12,170,2,2016-12-09,1990-07-08,26
Corey Anderson,Red,1,2,Orthodox,1,0,0,190.5,200.66,205,5,2016-12-09,1989-09-22,27
Joseph Gigliotti,Blue,0,1,Orthodox,1,0,0,180.34,,185,0,2016-12-09,1993-08-13,23
Gian Villante,Red,1,4,Orthodox,1,0,0,190.5,193.04,230,4,2016-12-09,1985-08-18,31
Derrick Lewis,Red,1,2,Orthodox,1,0,0,190.5,200.66,260,7,2016-12-09,1985-02-07,32
Justine Kish,Red,1,0,Orthodox,1,0,0,165.1,162.56,125,1,2016-12-09,1988-04-13,29
Tiago dos Santos e Silva,Blue,0,1,Orthodox,1,0,0,175.26,177.8,145,2,2016-12-09,1987-04-12,30
Frankie Perez,Blue,0,1,Orthodox,1,0,0,180.34,185.42,155,1,2016-12-09,1989-05-11,28
Juliana Lima,Red,1,2,Orthodox,1,0,0,165.1,165.1,115,2,2016-12-09,1982-03-15,35
Keith Berish,Blue,0,1,Orthodox,1,0,0,182.88,,205,0,2016-12-09,1985-11-14,31
Jake Ellenberger,Blue,0,7,Orthodox,1,0,0,175.26,180.34,170,10,2016-12-03,1985-03-28,32
Sara McMann,Red,1,3,Orthodox,1,0,0,167.64,167.64,135,3,2016-12-03,1980-09-24,36
Ion Cutelaba,Blue,0,1,Southpaw,0,1,0,185.42,190.5,205,1,2016-12-03,1993-12-14,23
Demetrious Johnson,Red,1,2,Orthodox,1,0,0,160.02,167.64,125,12,2016-12-03,1986-08-13,30
Gray Maynard,Blue,0,7,Orthodox,1,0,0,175.26,177.8,155,10,2016-12-03,1979-05-09,38
Rob Font,Red,1,1,Orthodox,1,0,0,172.72,180.34,135,2,2016-12-03,1987-06-25,29
Joseph Benavidez,Red,1,2,Southpaw,0,1,0,162.56,165.1,125,11,2016-12-03,1984-07-31,32
Brandon Moreno,Red,1,0,Orthodox,1,0,0,170.18,177.8,125,1,2016-12-03,1993-12-07,23
Kailin Curran,Blue,0,3,Orthodox,1,0,0,162.56,165.1,115,1,2016-12-03,1991-04-11,26
Josh Stansbury,Blue,0,0,Orthodox,1,0,0,187.96,187.96,205,1,2016-12-03,1984-11-19,32
Elvis Mutapcic,Blue,0,2,Orthodox,1,0,0,182.88,182.88,185,0,2016-12-03,1986-07-19,30
Dong Hyun Ma,Red,1,2,Orthodox,1,0,0,180.34,177.8,155,0,2016-12-03,1988-09-09,28
Daniel Kelly,Red,1,1,Southpaw,0,1,0,182.88,177.8,185,4,2016-11-26,1977-10-31,39
Khalil Rountree Jr.,Blue,0,1,Southpaw,0,1,0,185.42,193.04,205,0,2016-11-26,1990-02-26,27
Kyle Noke,Blue,0,5,Southpaw,0,1,0,185.42,193.04,170,6,2016-11-26,1980-03-18,37
Yusuke Kasuya,Blue,0,1,Southpaw,0,1,0,170.18,,155,0,2016-11-26,1989-11-16,27
Damien Brown,Red,1,1,Orthodox,1,0,0,177.8,172.72,155,1,2016-11-26,1984-12-25,32
Jake Matthews,Blue,0,2,Orthodox,1,0,0,180.34,185.42,170,4,2016-11-26,1994-08-19,22
Seo Hee Ham,Blue,0,2,Southpaw,0,1,0,157.48,157.48,115,1,2016-11-26,1987-03-08,30
Robert Whittaker,Red,1,2,Orthodox,1,0,0,182.88,185.42,185,7,2016-11-26,1990-12-20,26
Richard Walsh,Blue,0,3,Orthodox,1,0,0,182.88,185.42,170,2,2016-11-26,1988-12-01,28
Dan Hooker,Blue,0,2,Switch,0,0,1,182.88,190.5,155,3,2016-11-26,1990-02-13,27
Marlon Vera,Red,1,2,Switch,0,0,1,172.72,177.8,135,1,2016-11-26,1992-12-02,24
Ben Nguyen,Red,1,1,Switch,0,0,1,165.1,165.1,125,2,2016-11-26,1988-08-03,28
Yao Zhikui,Blue,0,2,Orthodox,1,0,0,165.1,162.56,125,1,2016-11-26,1991-02-07,26
Marcos Rogerio de Lima,Blue,0,1,Orthodox,1,0,0,185.42,190.5,253,3,2016-11-19,1985-06-25,31
Cezar Ferreira,Red,1,3,Southpaw,0,1,0,185.42,198.12,185,6,2016-11-19,1985-02-15,32
Sergio Moraes,Red,1,2,Orthodox,1,0,0,182.88,182.88,170,4,2016-11-19,1982-07-23,34
Claudia Gadelha,Red,1,2,Orthodox,1,0,0,162.56,160.02,115,2,2016-11-19,1988-12-07,28
Thomas Almeida,Red,1,1,Southpaw,0,1,0,170.18,177.8,145,4,2016-11-19,1991-07-31,25
Warlley Alves,Blue,0,1,Orthodox,1,0,0,180.34,182.88,170,4,2016-11-19,1991-01-04,26
Thales Leites,Blue,0,5,Orthodox,1,0,0,185.42,198.12,185,11,2016-11-19,1981-09-06,35
Ryan Bader,Red,1,5,Orthodox,1,0,0,187.96,187.96,205,14,2016-11-19,1983-06-07,33
Francimar Barroso,Draw,0,2,Orthodox,1,0,0,185.42,190.5,205,3,2016-11-19,1980-02-28,37
Luis Henrique,Red,1,1,Orthodox,1,0,0,187.96,187.96,243,1,2016-11-19,1993-08-21,23
Johnny Eduardo,Red,1,2,Orthodox,1,0,0,170.18,180.34,135,2,2016-11-19,1978-08-03,38
Pedro Munhoz,Red,1,3,Orthodox,1,0,0,167.64,165.1,135,2,2016-11-19,1986-09-07,30
Kevin Lee,Red,1,2,Orthodox,1,0,0,175.26,195.58,170,6,2016-11-19,1992-09-04,24
Magnus Cedenblad,Blue,0,1,Orthodox,1,0,0,195.58,200.66,185,4,2016-11-19,1982-04-10,35
Artem Lobov,Red,1,2,Southpaw,0,1,0,175.26,165.1,145,1,2016-11-19,1986-08-11,30
Kyoji Horiguchi,Red,1,1,Orthodox,1,0,0,165.1,167.64,125,6,2016-11-19,1990-10-12,26
Ross Pearson,Blue,0,10,Orthodox,1,0,0,172.72,175.26,155,11,2016-11-19,1984-09-26,32
Anna Elmose,Blue,0,1,Orthodox,1,0,0,160.02,,115,0,2016-11-19,1984-10-06,32
Gegard Mousasi,Red,1,3,Orthodox,1,0,0,187.96,193.04,185,7,2016-11-19,1985-08-01,31
Timothy Johnson,Blue,0,1,Southpaw,0,1,0,190.5,195.58,265,2,2016-11-19,1985-03-13,32
Zak Cummings,Red,1,2,Southpaw,0,1,0,182.88,190.5,185,4,2016-11-19,1984-08-02,32
Marion Reneau,Red,1,2,Orthodox,1,0,0,167.64,172.72,135,2,2016-11-19,1977-06-20,39
Justin Ledet,Red,1,0,Orthodox,1,0,0,193.04,203.2,205,1,2016-11-19,1988-09-28,28
Brett Johns,Red,1,0,Orthodox,1,0,0,170.18,180.34,135,0,2016-11-19,1992-02-21,25
Charlie Ward,Blue,0,0,Orthodox,1,0,0,180.34,,170,0,2016-11-19,1980-12-17,36
Tyron Woodley,Draw,0,2,Orthodox,1,0,0,175.26,187.96,170,6,2016-11-12,1982-04-07,35
Khabib Nurmagomedov,Red,1,0,Orthodox,1,0,0,177.8,177.8,155,7,2016-11-12,1988-09-20,28
Frankie Edgar,Red,1,6,Orthodox,1,0,0,167.64,172.72,135,14,2016-11-12,1981-10-16,35
Rafael Natal,Blue,0,6,Orthodox,1,0,0,182.88,195.58,185,9,2016-11-12,1982-12-25,34
Chris Weidman,Blue,0,1,Orthodox,1,0,0,187.96,198.12,185,9,2016-11-12,1984-06-17,32
Miesha Tate,Blue,0,3,Orthodox,1,0,0,167.64,167.64,135,5,2016-11-12,1986-08-18,30
Eddie Alvarez,Blue,0,1,Orthodox,1,0,0,175.26,175.26,155,3,2016-11-12,1984-01-11,33
Vicente Luque,Red,1,1,Orthodox,1,0,0,180.34,190.5,170,3,2016-11-12,1991-11-27,25
Joanna Jedrzejczyk,Red,1,0,Orthodox,1,0,0,167.64,165.1,115,6,2016-11-12,1987-08-18,29
Jim Miller,Red,1,8,Southpaw,0,1,0,172.72,180.34,155,16,2016-11-12,1983-08-30,33
Liz Carmouche,Red,1,3,Orthodox,1,0,0,167.64,167.64,125,2,2016-11-12,1984-02-19,33
Marco Beltran,Blue,0,0,Orthodox,1,0,0,172.72,175.26,125,3,2016-11-05,1986-05-18,30
Ricardo Lamas,Red,1,3,Orthodox,1,0,0,172.72,180.34,145,7,2016-11-05,1982-05-21,34
Beneil Dariush,Red,1,2,Southpaw,0,1,0,177.8,182.88,155,7,2016-11-05,1989-05-06,27
Martin Bravo,Red,1,0,Southpaw,0,1,0,172.72,180.34,145,0,2016-11-05,1993-09-21,23
Diego Sanchez,Red,1,9,Southpaw,0,1,0,177.8,182.88,170,15,2016-11-05,1981-12-31,35
Rafael Dos Anjos,Blue,0,6,Southpaw,0,1,0,172.72,177.8,155,14,2016-11-05,1984-10-26,32
Erik Perez,Red,1,2,Orthodox,1,0,0,172.72,172.72,135,6,2016-11-05,1989-11-19,27
Alexa Grasso,Red,1,0,Orthodox,1,0,0,165.1,167.64,125,0,2016-11-05,1993-08-09,23
Erick Montano,Blue,0,1,Orthodox,1,0,0,182.88,185.42,170,1,2016-11-05,1985-11-19,31
Sam Alvey,Red,1,3,Southpaw,0,1,0,187.96,190.5,205,5,2016-11-05,1986-05-06,30
Henry Briones,Blue,0,1,Orthodox,1,0,0,172.72,175.26,135,1,2016-11-05,1980-10-22,36
Marco Polo Reyes,Red,1,0,Orthodox,1,0,0,180.34,180.34,155,2,2016-11-05,1984-11-07,32
Enrique Barzola,Red,1,1,Orthodox,1,0,0,170.18,177.8,145,1,2016-11-05,1989-04-28,28
Brad Pickett,Blue,0,6,Orthodox,1,0,0,167.64,172.72,135,5,2016-10-08,1978-09-24,38
Vitor Belfort,Blue,0,8,Southpaw,0,1,0,182.88,187.96,185,14,2016-10-08,1977-04-01,40
Leon Edwards,Red,1,2,Southpaw,0,1,0,187.96,187.96,170,3,2016-10-08,1991-08-25,25
Davey Grant,Blue,0,1,Orthodox,1,0,0,172.72,175.26,135,1,2016-10-08,1985-12-18,31
Ovince Saint Preux,Blue,0,3,Southpaw,0,1,0,190.5,203.2,205,7,2016-10-08,1983-04-08,34
Michael Bisping,Red,1,7,Orthodox,1,0,0,185.42,190.5,185,19,2016-10-08,1979-02-28,38
Mirsad Bektic,Red,1,0,Orthodox,1,0,0,172.72,177.8,145,3,2016-10-08,1991-02-16,26
Stefan Struve,Red,1,6,Orthodox,1,0,0,210.82,213.36,265,11,2016-10-08,1988-02-18,29
Lukasz Sajewski,Blue,0,2,Orthodox,1,0,0,172.72,180.34,155,0,2016-10-08,1990-11-27,26
Leonardo Santos,Red,1,1,Orthodox,1,0,0,182.88,190.5,155,4,2016-10-08,1980-02-05,37
Danny Roberts,Blue,0,0,Southpaw,0,1,0,185.42,187.96,170,2,2016-10-08,1987-07-14,29
Shamil Abdurakhimov,Red,1,1,Orthodox,1,0,0,190.5,193.04,235,1,2016-10-01,1981-09-02,35
Henrique da Silva,Red,1,0,Orthodox,1,0,0,190.5,193.04,205,1,2016-10-01,1989-09-01,27
Joshua Burkman,Blue,0,9,Orthodox,1,0,0,177.8,182.88,170,6,2016-10-01,1980-04-10,36
Will Brooks,Blue,0,0,Orthodox,1,0,0,177.8,182.88,155,1,2016-10-01,1986-10-08,30
Hacran Dias,Blue,0,3,Orthodox,1,0,0,172.72,175.26,155,3,2016-10-01,1984-06-16,32
John Lineker,Red,1,2,Orthodox,1,0,0,160.02,170.18,135,9,2016-10-01,1990-06-12,26
Keita Nakamura,Blue,0,4,Southpaw,0,1,0,180.34,185.42,170,2,2016-10-01,1984-05-22,32
Nate Marquardt,Red,1,9,Orthodox,1,0,0,182.88,187.96,185,12,2016-10-01,1979-04-20,37
Louis Smolka,Blue,0,1,Orthodox,1,0,0,175.26,172.72,135,5,2016-10-01,1991-07-16,25
Cody East,Blue,0,1,Orthodox,1,0,0,190.5,,245,0,2016-10-01,1988-06-29,28
Jonathan Wilson,Blue,0,1,Southpaw,0,1,0,187.96,190.5,205,1,2016-10-01,1987-07-17,29
Kelly Faszholz,Blue,0,1,Orthodox,1,0,0,172.72,,135,0,2016-10-01,1985-04-09,31
Rani Yahya,Red,1,3,Orthodox,1,0,0,167.64,170.18,135,7,2016-09-24,1984-09-12,32
Renan Barao,Red,1,3,Orthodox,1,0,0,167.64,177.8,145,8,2016-09-24,1987-01-31,30
Thiago Santos,Blue,0,3,Orthodox,1,0,0,187.96,193.04,205,5,2016-09-24,1984-01-07,33
Godofredo Pepey,Red,1,4,Orthodox,1,0,0,170.18,185.42,145,4,2016-09-24,1987-07-02,29
Gilbert Burns,Blue,0,1,Orthodox,1,0,0,177.8,180.34,170,4,2016-09-24,1986-07-20,30
Roy Nelson,Red,1,9,Orthodox,1,0,0,182.88,185.42,263,8,2016-09-24,1976-06-20,40
Cristiane Justino,Red,1,0,Orthodox,1,0,0,172.72,172.72,145,1,2016-09-24,1985-07-09,31
Francisco Trinaldo,Red,1,3,Southpaw,0,1,0,175.26,177.8,155,10,2016-09-24,1978-08-24,38
Jussier Formiga,Red,1,3,Orthodox,1,0,0,165.1,170.18,125,4,2016-09-24,1985-04-14,31
Erick Silva,Red,1,6,Orthodox,1,0,0,182.88,187.96,170,6,2016-09-24,1984-06-21,32
Vicente Luque,Red,1,1,Orthodox,1,0,0,180.34,190.5,170,2,2016-09-24,1991-11-27,25
Alan Patrick,Red,1,1,Southpaw,0,1,0,180.34,187.96,155,3,2016-09-24,1983-07-19,33
Glaico Franca Moreira,Blue,0,1,Orthodox,1,0,0,182.88,195.58,155,1,2016-09-24,1991-02-28,26
Dustin Poirier,Blue,0,3,Southpaw,0,1,0,175.26,182.88,155,12,2016-09-17,1989-01-19,28
Chris Wade,Blue,0,1,Orthodox,1,0,0,177.8,177.8,155,4,2016-09-17,1987-09-30,29
Evan Dunham,Red,1,6,Southpaw,0,1,0,177.8,177.8,155,10,2016-09-17,1981-12-18,35
Roan Carneiro,Red,1,4,Orthodox,1,0,0,180.34,193.04,170,3,2016-09-17,1978-06-02,38
Gabriel Benitez,Red,1,1,Southpaw,0,1,0,172.72,180.34,155,2,2016-09-17,1988-06-15,28
Uriah Hall,Blue,0,4,Orthodox,1,0,0,182.88,200.66,185,5,2016-09-17,1984-07-31,32
Chas Skelly,Red,1,2,Orthodox,1,0,0,180.34,182.88,145,4,2016-09-17,1985-05-11,31
Augusto Montano,Blue,0,1,Orthodox,1,0,0,185.42,185.42,170,1,2016-09-17,1984-10-25,32
Erick Montano,Blue,0,0,Orthodox,1,0,0,182.88,185.42,170,1,2016-09-17,1985-11-19,31
Antonio Carlos Junior,Red,1,3,Orthodox,1,0,0,187.96,200.66,185,2,2016-09-17,1990-03-16,27
Alejandro Perez,Draw,0,1,Orthodox,1,0,0,167.64,170.18,145,3,2016-09-17,1989-09-02,27
Jose Quinonez,Red,1,1,Southpaw,0,1,0,172.72,175.26,135,1,2016-09-17,1990-07-28,26
Nik Lentz,Red,1,6,Orthodox,1,0,0,172.72,172.72,145,10,2016-09-10,1984-08-13,32
Stipe Miocic,Red,1,2,Orthodox,1,0,0,193.04,203.2,240,9,2016-09-10,1982-08-19,34
CM Punk,Blue,0,0,Orthodox,1,0,0,185.42,185.42,170,0,2016-09-10,1978-10-26,38
Urijah Faber,Blue,0,5,Orthodox,1,0,0,167.64,170.18,135,9,2016-09-10,1979-05-14,37
Jessica Andrade,Red,1,3,Orthodox,1,0,0,154.94,157.48,115,5,2016-09-10,1991-09-25,25
Fabricio Werdum,Red,1,3,Orthodox,1,0,0,193.04,195.58,231,8,2016-09-10,1977-07-30,39
Brad Tavares,Red,1,4,Orthodox,1,0,0,185.42,187.96,185,8,2016-09-10,1987-12-21,29
Jessica Eye,Blue,0,5,Orthodox,1,0,0,167.64,167.64,125,1,2016-09-10,1986-07-27,30
Drew Dober,Red,1,4,Southpaw,0,1,0,172.72,177.8,155,2,2016-09-10,1988-10-19,28
Yancy Medeiros,Red,1,5,Orthodox,1,0,0,177.8,190.5,155,3,2016-09-10,1987-09-07,29
Ryan Bader,Red,1,5,Orthodox,1,0,0,187.96,187.96,205,13,2016-09-03,1983-06-07,33
Peter Sobotta,Red,1,4,Southpaw,0,1,0,182.88,190.5,170,2,2016-09-03,1987-01-11,30
Ashlee Evans-Smith,Red,1,1,Orthodox,1,0,0,172.72,170.18,135,1,2016-09-03,1987-07-09,29
Taylor Lapilus,Red,1,1,Southpaw,0,1,0,167.64,185.42,135,2,2016-09-03,1992-04-08,24
Nick Hein,Red,1,1,Southpaw,0,1,0,167.64,167.64,155,3,2016-09-03,1984-04-24,32
Andrei Arlovski,Blue,0,6,Orthodox,1,0,0,190.5,195.58,240,14,2016-09-03,1979-02-04,38
Jessin Ayari,Red,1,0,Orthodox,1,0,0,182.88,185.42,155,0,2016-09-03,1992-05-31,24
Alexander Gustafsson,Red,1,4,Orthodox,1,0,0,195.58,200.66,205,8,2016-09-03,1987-01-15,30
Jarjis Danho,Draw,0,1,Orthodox,1,0,0,190.5,187.96,265,0,2016-09-03,1983-10-15,33
Scott Askham,Blue,0,2,Southpaw,0,1,0,190.5,190.5,185,2,2016-09-03,1988-05-20,28
Rustam Khabilov,Red,1,2,Orthodox,1,0,0,172.72,185.42,155,5,2016-09-03,1986-11-04,30
Sam Alvey,Red,1,3,Southpaw,0,1,0,187.96,190.5,205,4,2016-08-27,1986-05-06,30
Garreth McLellan,Blue,0,2,Southpaw,0,1,0,185.42,182.88,185,1,2016-08-27,1982-09-01,34
Anthony Pettis,Red,1,4,Orthodox,1,0,0,177.8,182.88,155,5,2016-08-27,1987-01-27,30
Joe Lauzon,Blue,0,8,Orthodox,1,0,0,177.8,180.34,155,13,2016-08-27,1984-05-22,32
Shane Campbell,Blue,0,3,Orthodox,1,0,0,182.88,180.34,155,1,2016-08-27,1987-01-21,30
Demian Maia,Red,1,6,Southpaw,0,1,0,185.42,182.88,170,17,2016-08-27,1977-11-06,39
Enrique Barzola,Blue,0,0,Orthodox,1,0,0,170.18,177.8,145,1,2016-08-27,1989-04-28,27
Paige VanZant,Red,1,1,Orthodox,1,0,0,162.56,165.1,115,3,2016-08-27,1994-03-26,22
Chad Laprise,Red,1,2,Orthodox,1,0,0,177.8,180.34,170,3,2016-08-27,1986-07-23,30
Jeremy Kennedy,Red,1,0,Orthodox,1,0,0,180.34,180.34,145,0,2016-08-27,1992-09-16,24
Cody Garbrandt,Red,1,0,Orthodox,1,0,0,172.72,165.1,135,4,2016-08-20,1991-07-07,25
Artem Lobov,Red,1,2,Southpaw,0,1,0,175.26,165.1,145,0,2016-08-20,1986-08-11,30
Rick Story,Blue,0,6,Southpaw,0,1,0,175.26,180.34,170,12,2016-08-20,1984-08-28,32
Raquel Pennington,Red,1,2,Orthodox,1,0,0,170.18,170.18,135,4,2016-08-20,1988-09-05,28
Hyun Gyu Lim,Blue,0,2,Orthodox,1,0,0,190.5,195.58,170,3,2016-08-20,1985-01-16,32
Anthony Johnson,Red,1,5,Orthodox,1,0,0,187.96,198.12,205,12,2016-08-20,1984-03-06,32
Tim Means,Red,1,4,Orthodox,1,0,0,187.96,190.5,170,7,2016-08-20,1984-02-20,33
Nate Diaz,Blue,0,8,Southpaw,0,1,0,182.88,193.04,170,14,2016-08-20,1985-04-16,31
Colby Covington,Red,1,1,Orthodox,1,0,0,180.34,182.88,170,4,2016-08-20,1988-02-22,28
Randa Markos,Blue,0,2,Orthodox,1,0,0,162.56,160.02,115,2,2016-08-20,1985-08-10,31
Neil Magny,Blue,0,3,Orthodox,1,0,0,190.5,203.2,170,11,2016-08-20,1987-08-03,29
Alberto Uda,Blue,0,1,Orthodox,1,0,0,190.5,,185,0,2016-08-20,1984-08-08,32
Viktor Pesta,Blue,0,2,Orthodox,1,0,0,190.5,195.58,240,1,2016-08-06,1990-07-15,26
Court McGee,Red,1,4,Orthodox,1,0,0,180.34,190.5,170,6,2016-08-06,1984-12-12,32
Thales Leites,Red,1,5,Orthodox,1,0,0,185.42,198.12,185,10,2016-08-06,1981-09-06,35
Trevor Smith,Red,1,3,Orthodox,1,0,0,190.5,190.5,185,3,2016-08-06,1981-01-05,36
Santiago Ponzinibbio,Red,1,2,Orthodox,1,0,0,182.88,185.42,170,4,2016-08-06,1986-09-26,30
Dennis Bermudez,Red,1,3,Orthodox,1,0,0,167.64,167.64,155,8,2016-08-06,1986-12-13,30
Maryna Moroz,Red,1,1,Orthodox,1,0,0,170.18,170.18,125,2,2016-08-06,1991-09-08,25
Yair Rodriguez,Red,1,0,Orthodox,1,0,0,180.34,180.34,145,4,2016-08-06,1992-10-06,24
David Teymur,Red,1,0,Southpaw,0,1,0,175.26,185.42,155,1,2016-08-06,1989-05-01,27
Teruto Ishihara,Red,1,1,Southpaw,0,1,0,170.18,175.26,135,1,2016-08-06,1991-07-23,25
Chase Sherman,Blue,0,0,Orthodox,1,0,0,193.04,198.12,250,0,2016-08-06,1989-11-16,27
Cub Swanson,Red,1,3,Orthodox,1,0,0,172.72,177.8,145,7,2016-08-06,1983-11-02,33
Ryan Benoit,Red,1,2,Orthodox,1,0,0,165.1,172.72,125,1,2016-07-30,1989-08-25,27
Rose Namajunas,Blue,0,1,Orthodox,1,0,0,165.1,165.1,115,3,2016-07-30,1992-06-29,24
Francisco Rivera,Blue,0,6,Orthodox,1,0,0,172.72,177.8,135,4,2016-07-30,1981-10-08,35
Nikita Krylov,Red,1,2,Orthodox,1,0,0,190.5,195.58,205,5,2016-07-30,1992-03-07,24
Matt Brown,Blue,0,8,Orthodox,1,0,0,182.88,190.5,170,13,2016-07-30,1981-01-10,36
Anthony Hamilton,Red,1,3,Orthodox,1,0,0,195.58,193.04,260,2,2016-07-30,1980-04-14,36
Ross Pearson,Blue,0,9,Orthodox,1,0,0,172.72,175.26,155,11,2016-07-30,1984-09-26,32
Robbie Lawler,Blue,0,4,Southpaw,0,1,0,180.34,187.96,170,12,2016-07-30,1982-03-20,34
Wilson Reis,Red,1,2,Southpaw,0,1,0,162.56,165.1,125,4,2016-07-30,1985-01-06,32
Michael Graves,Draw,0,0,Orthodox,1,0,0,177.8,180.34,170,2,2016-07-30,1991-01-08,26
Cesar Arzamendia,Blue,0,1,Orthodox,1,0,0,180.34,,155,0,2016-07-30,1991-01-31,26
Kamaru Usman,Red,1,0,Switch,0,0,1,182.88,193.04,170,2,2016-07-23,1987-05-11,29
Felice Herrig,Red,1,1,Orthodox,1,0,0,162.56,165.1,115,1,2016-07-23,1984-09-18,32
Francis Ngannou,Red,1,0,Orthodox,1,0,0,193.04,210.82,250,2,2016-07-23,1986-09-05,30
Frankie Saenz,Blue,0,1,Orthodox,1,0,0,167.64,167.64,135,3,2016-07-23,1980-08-12,36
Holly Holm,Blue,0,1,Southpaw,0,1,0,172.72,175.26,135,3,2016-07-23,1981-10-17,35
Edson Barboza,Red,1,4,Orthodox,1,0,0,180.34,190.5,145,11,2016-07-23,1986-01-21,31
Darren Elkins,Red,1,4,Orthodox,1,0,0,177.8,180.34,145,10,2016-07-23,1984-05-16,32
Michel Prazeres,Red,1,2,Orthodox,1,0,0,167.64,170.18,170,3,2016-07-23,1981-07-25,35
Alex Oliveira,Red,1,2,Orthodox,1,0,0,180.34,193.04,170,3,2016-07-23,1988-02-21,28
Luis Henrique,Red,1,1,Orthodox,1,0,0,187.96,187.96,243,0,2016-07-23,1993-08-21,23
Jim Alers,Blue,0,2,Orthodox,1,0,0,175.26,180.34,145,1,2016-07-23,1986-10-14,30
Louis Smolka,Red,1,1,Orthodox,1,0,0,175.26,172.72,135,4,2016-07-13,1991-07-16,25
Tim Boetsch,Red,1,9,Orthodox,1,0,0,182.88,187.96,185,9,2016-07-13,1981-01-28,35
Tony Ferguson,Red,1,1,Orthodox,1,0,0,180.34,193.04,155,10,2016-07-13,1984-02-12,32
Kyle Noke,Blue,0,4,Southpaw,0,1,0,185.42,193.04,170,6,2016-07-13,1980-03-18,36
Michael McDonald,Blue,0,2,Orthodox,1,0,0,175.26,177.8,135,6,2016-07-13,1991-01-15,25
Lauren Murphy,Blue,0,2,Orthodox,1,0,0,165.1,170.18,125,1,2016-07-13,1983-07-27,33
Aleksei Oleinik,Blue,0,0,Orthodox,1,0,0,187.96,203.2,240,2,2016-07-13,1977-06-20,39
Eric Spicely,Blue,0,0,Orthodox,1,0,0,185.42,185.42,185,0,2016-07-13,1986-09-29,30
Cortney Casey,Red,1,2,Orthodox,1,0,0,170.18,170.18,125,0,2016-07-13,1987-05-05,29
Devin Clark,Blue,0,0,Orthodox,1,0,0,182.88,190.5,205,0,2016-07-13,1990-04-12,26
Rani Yahya,Red,1,3,Orthodox,1,0,0,167.64,170.18,135,6,2016-07-13,1984-09-12,32
Scott Holtzman,Red,1,1,Orthodox,1,0,0,175.26,175.26,155,1,2016-07-13,1983-09-30,33
Jose Aldo,Red,1,1,Orthodox,1,0,0,170.18,177.8,135,7,2016-07-09,1986-09-09,30
Cain Velasquez,Red,1,2,Orthodox,1,0,0,185.42,195.58,240,11,2016-07-09,1982-07-28,34
Miesha Tate,Blue,0,2,Orthodox,1,0,0,167.64,167.64,135,5,2016-07-09,1986-08-18,30
Cat Zingano,Blue,0,1,Southpaw,0,1,0,167.64,172.72,145,2,2016-07-09,1982-07-01,34
TJ Dillashaw,Red,1,3,Orthodox,1,0,0,167.64,170.18,125,8,2016-07-09,1986-02-07,30
Daniel Cormier,Red,1,1,Orthodox,1,0,0,180.34,182.88,235,6,2016-07-09,1979-03-20,37
Brock Lesnar,Draw,0,3,Orthodox,1,0,0,190.5,205.74,265,4,2016-07-09,1977-07-12,39
Johny Hendricks,Blue,0,4,Southpaw,0,1,0,175.26,175.26,185,12,2016-07-09,1983-09-12,33
Diego Sanchez,Blue,0,8,Southpaw,0,1,0,177.8,182.88,170,15,2016-07-09,1981-12-31,35
Sage Northcutt,Red,1,1,Orthodox,1,0,0,182.88,180.34,170,2,2016-07-09,1996-03-01,20
Gegard Mousasi,Red,1,3,Orthodox,1,0,0,187.96,193.04,185,5,2016-07-09,1985-08-01,31
Jim Miller,Red,1,8,Southpaw,0,1,0,172.72,180.34,155,14,2016-07-09,1983-08-30,33
Joanna Jedrzejczyk,Red,1,0,Orthodox,1,0,0,167.64,165.1,115,5,2016-07-08,1987-08-18,29
Joaquim Silva,Red,1,0,Southpaw,0,1,0,172.72,175.26,155,1,2016-07-08,1989-02-05,27
Andrew Sanchez,Red,1,0,Orthodox,1,0,0,185.42,187.96,185,0,2016-07-08,1988-04-08,28
Ross Pearson,Blue,0,8,Orthodox,1,0,0,172.72,175.26,155,11,2016-07-08,1984-09-26,32
Tatiana Suarez,Red,1,0,Southpaw,0,1,0,165.1,167.64,115,0,2016-07-08,1990-12-19,26
Dooho Choi,Red,1,0,Orthodox,1,0,0,177.8,177.8,145,2,2016-07-08,1991-04-10,25
John Moraga,Blue,0,3,Orthodox,1,0,0,167.64,167.64,125,5,2016-07-08,1984-03-20,32
Gray Maynard,Red,1,7,Orthodox,1,0,0,175.26,177.8,155,9,2016-07-08,1979-05-09,37
Jake Matthews,Blue,0,1,Orthodox,1,0,0,180.34,185.42,170,4,2016-07-08,1994-08-19,22
Cory Hendricks,Blue,0,0,,0,0,0,190.5,,205,0,2016-07-08,1988-05-10,28
Cezar Ferreira,Red,1,3,Southpaw,0,1,0,185.42,198.12,185,5,2016-07-08,1985-02-15,31
Li Jingliang,Red,1,2,Orthodox,1,0,0,182.88,180.34,170,2,2016-07-08,1988-03-20,28
